"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 28 08:05:57 GMT 2023","Tue Mar 28 08:06:33 GMT 2023","35850","Build Verification Test","Validate the standard test case creation","com.itechart.tests.AciertoTest","com.itechart.tests.AciertoTest","aciertoTestAsisaVidaValidation","Creation of the insurance record with provider 'Axa Vida Protec' and validation it in Salesforce",""
"passed","Tue Mar 28 08:04:12 GMT 2023","Tue Mar 28 08:04:22 GMT 2023","9069","Build Verification Test","Validate the standard test case creation","com.itechart.tests.AciertoTest","com.itechart.tests.AciertoTest","aciertoTest","Creation of the insurance record",""
"passed","Tue Mar 28 08:20:26 GMT 2023","Tue Mar 28 08:21:21 GMT 2023","55368","Build Verification Test","Validate the recurring demand","com.itechart.tests.AciertoRecurringDemandTest","com.itechart.tests.AciertoRecurringDemandTest","aciertoParentCase","Recurring demand: Choosing from grouped cases",""
"passed","Tue Mar 28 08:09:58 GMT 2023","Tue Mar 28 08:10:31 GMT 2023","33228","Build Verification Test","Validate the test creation throw CallMe form","com.itechart.tests.AciertoCallMeTest","com.itechart.tests.AciertoCallMeTest","acietroCallMe4PageNotProduct","Click Call Me on the 4th step of the web funnel (where a result list is present), when product is not selected",""
"passed","Tue Mar 28 08:16:05 GMT 2023","Tue Mar 28 08:16:34 GMT 2023","29057","Build Verification Test","Validate the test creation throw CallMe form","com.itechart.tests.AciertoCallMeTest","com.itechart.tests.AciertoCallMeTest","acietroCallMeFirstPage","Click Call Me on the 1st step of the web funnel form (product is not selected)",""
"passed","Tue Mar 28 08:09:49 GMT 2023","Tue Mar 28 08:09:57 GMT 2023","8224","Build Verification Test","Validate the standard test case creation","com.itechart.tests.AciertoTest","com.itechart.tests.AciertoTest","aciertoWeCallYouFreeTest","Creation of the insurance record",""
"failed","Tue Mar 28 08:14:14 GMT 2023","Tue Mar 28 08:14:51 GMT 2023","37754","Build Verification Test","Validate the test creation throw CallMe form","com.itechart.tests.AciertoCallMeTest","com.itechart.tests.AciertoCallMeTest","acietroCallMeDetailPage","Click Call Me on product detail page",""
"passed","Tue Mar 28 08:09:20 GMT 2023","Tue Mar 28 08:09:49 GMT 2023","28866","Build Verification Test","Validate the standard test case creation","com.itechart.tests.AciertoTest","com.itechart.tests.AciertoTest","aciertoTestZurichVidaValidation","Creation of the insurance record with provider 'FIATC Vida' and validation it in Salesforce",""
"passed","Tue Mar 28 08:08:19 GMT 2023","Tue Mar 28 08:08:50 GMT 2023","31012","Build Verification Test","Validate the standard test case creation","com.itechart.tests.AciertoTest","com.itechart.tests.AciertoTest","aciertoTestPrevisVidaValidation","Creation of the insurance record with provider 'Zurich Vida' and validation it in Salesforce",""
"failed","Tue Mar 28 08:18:14 GMT 2023","Tue Mar 28 08:18:47 GMT 2023","32827","Build Verification Test","Validate the test creation throw CallMe form","com.itechart.tests.AciertoCallMeTest","com.itechart.tests.AciertoCallMeTest","acietroCallMeThirdPage","Click Call Me on the 3d step of web funnel form (product is not selected)",""
"passed","Tue Mar 28 08:07:02 GMT 2023","Tue Mar 28 08:07:29 GMT 2023","27724","Build Verification Test","Validate the standard test case creation","com.itechart.tests.AciertoTest","com.itechart.tests.AciertoTest","aciertoTestCreditAndorraLifeVidaValidation","Creation of the insurance record with provider 'Santalucía Vida' and validation it in Salesforce",""
"failed","Tue Mar 28 08:12:24 GMT 2023","Tue Mar 28 08:12:58 GMT 2023","34408","Build Verification Test","Validate the test creation throw CallMe form","com.itechart.tests.AciertoCallMeTest","com.itechart.tests.AciertoCallMeTest","acietroCallMeComparisonPage","Click Call Me on comparison detail page",""
"passed","Tue Mar 28 08:16:35 GMT 2023","Tue Mar 28 08:17:02 GMT 2023","27509","Build Verification Test","Validate the test creation throw CallMe form","com.itechart.tests.AciertoCallMeTest","com.itechart.tests.AciertoCallMeTest","acietroCallMeSecondPage","Click Call Me on the 2nd step of web funnel form (product is not selected)",""
"passed","Tue Mar 28 08:08:50 GMT 2023","Tue Mar 28 08:09:19 GMT 2023","29057","Build Verification Test","Validate the standard test case creation","com.itechart.tests.AciertoTest","com.itechart.tests.AciertoTest","aciertoTestSantalucíaVidaValidation","Creation of the insurance record with provider 'Allianz Vida Riesgo' and validation it in Salesforce",""
"failed","Tue Mar 28 08:11:01 GMT 2023","Tue Mar 28 08:11:15 GMT 2023","14168","Build Verification Test","Validate the test creation throw CallMe form","com.itechart.tests.AciertoCallMeTest","com.itechart.tests.AciertoCallMeTest","acietroCallMe4PageProduct","Click Call Me on the 4th step of the web funnel (where a result list is present), when product is selected",""
"failed","Tue Mar 28 08:08:05 GMT 2023","Tue Mar 28 08:08:18 GMT 2023","13875","Build Verification Test","Validate the standard test case creation","com.itechart.tests.AciertoTest","com.itechart.tests.AciertoTest","aciertoTestFIATCVidaValidation","Creation of the insurance record with provider 'Credit Andorra Life' and validation it in Salesforce",""
"passed","Tue Mar 28 08:06:33 GMT 2023","Tue Mar 28 08:07:01 GMT 2023","27961","Build Verification Test","Validate the standard test case creation","com.itechart.tests.AciertoTest","com.itechart.tests.AciertoTest","aciertoTestAxaVidaProtecValidation","Creation of the insurance record with provider AsisaVida and validation it in Salesforce",""
"passed","Tue Mar 28 08:05:28 GMT 2023","Tue Mar 28 08:05:56 GMT 2023","28651","Build Verification Test","Validate the standard test case creation","com.itechart.tests.AciertoTest","com.itechart.tests.AciertoTest","aciertoTestAllianzVidaRiesgoValidation","Creation of the insurance record with provider 'Previs Vida' and validation it in Salesforce",""
